Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2022_368,"Thompson-Shuswap Salmon Habitat Assessment, Monitoring & Restoration Program (2023-26)",2,Secwepemc Fisheries Commission,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Thompson-Shuswap sub-region,Innovation,5/4/2023,3/31/2026,"This project, being led by the Secwepemc Fisheries Commission (on behalf of the Thompson-Shuswap Salmon Collaborative), seeks to conduct a suite of inter-related activities focused on assessing, monitoring, and responding to freshwater habitat threats facing wild salmon and steelhead in the Thompson-Shuswap sub-region.  Project activities will include assessing and mapping sensitive stream habitats; identifying areas of cold-water refugia critical for fish survival during climate change; salmon habitat restoration including improving fish passage; and expanding hydrometric monitoring in drought-sensitive streams. 

Project outcomes will inform the Thompson-Shuswap Salmon Collaborative’s integrated planning process that aims to provide strategic recommendations and identify the work needed to implement priorities and actions that will benefit salmon ecosystems while considering impacts from climate change and human uses. ","Thompson-Shuswap Salmon Collaborative (TSSC):
Fisheries and Oceans Canada
BC Ministry of Land, Water and Resource Stewardship
Secwepemc Fisheries Commission",Pacific Salmon
BCSRIF_2022_370,"10,000 Wetlands Project",2,The B.C. Wildlife Federation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,BC Wide and Coastal Waters,Innovation,5/4/2023,3/31/2026,"BCWF is proposing to install beaver dam analogues (BDA) throughout BC in collaboration with partners to advance process-based restoration and measure BDA efficacy for addressing watershed threats, particularly climate change and extreme weather, and support fish and wildlife habitat.  BDA methodology has gained momentum and support recently to address drought and low-flow stream habitat, riparian degradation and improvements to fish habitat.  This project will install BDA's, initiate training, monitor installations to generate BDA research and determine effectiveness, and refine BDA installation and monitoring protocols.  The project goal is to establish BDA technology as a method for stream restoration in BC as this method is a low-cost approach to wetland restoration and fish habitat enhancement designed to mimic natural wetlands and ecological processes.  ","British Columbia Institute of Technology (BCIT)
Nature Trust of BC (NTBC) 
Nicola Valley Institute of Technology (NVIT) 
Ministry of Land, Water and Resource Stewardship, South Coast 
Ministry of Land, Water and Resource Stewardship, Thompson-Okanagan 
Nechako Environment and Water Stewardship Society 
Pacific Salmon Foundation (PSF) ",Pacific Salmon
BCSRIF_2022_371,Skeena River Fish Trap Project,2,Lax Kw’alaams Business Development LP.,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Prince Rupert,Infrastructure,5/4/2023,3/31/2026,"This project is being conducted by Lax Kw'alaams Fisheries in collaboration with Skeena Fisheries Commission and the Wild Fish Conservancy to assess the viability of an impoundment net fish trap in the lower Skeena River. Net fish traps are one of the oldest methods of fishing technology, and have been used for millennia by First Nations to harvest salmon and other species. This technology supports selective fishing practices and reduces bycatch mortality, as well as having utility as a stock assessment and research platform to monitor Skeena River salmon and other species such as Steelhead. ","Wild Salmon Conservancy
Skeena Fisheries Commission",Pacific Salmon
BCSRIF_2022_372,Management strategy evaluation for bottom contact fisheries with assessments of sensitive benthic habitats,2,Wild Canadian Sablefish Ltd.,Commercial Enterprise,BC Wide and Coastal Waters,Vancouver,Innovation,6/1/2023,3/31/2026,"Since 2013, the Canadian Sablefish Association (CSA) via Wild Canadian Sablefish Ltd. (WCS) has funded research supporting an applied ecosystem approach that deploys deep-water cameras, accelerometers, and depth sensors on longline trap Sablefish gear to collect observations of deep-sea habitats and monitor bottom-contact from fishing gear.This project will develop and demonstrate an innovative adaptive management approach to improving sustainable fishing practices for bottom contact fisheries that includes i) an integrated system of data capture technology for Sensitive Benthic Areas (SBAs), ii) in-situ monitoring and estimation methods to quantify bottom contact from fishing gear, iii) presence-absence modelling to map SBAs, iv) risk assessment for quantifying bottom fishing impacts on SBAs and spatial assessment of conservation status, v) a simulation framework for evaluating fishing impacts on SBAs and their recovery trajectories under alternative management approaches.","Landmark Fisheries Research, Ltd.",Pacific Groundfish
BCSRIF_2022_373,Resilient Waters Phase 3: Restoration and Research for Salmon and Flood Resilience in the Lower Fraser Watershed,2,MakeWay Charitable Society,Not-for-profit organization (ENGO),Fraser and Interior,Vancouver,Infrastructure,10/1/2023,3/31/2026,"Resilient Waters Phase 3 builds off the successes of the first two phases of this large-scale effort to restore connections to wild salmon habitat in the Lower Fraser River while advancing best practices in fish-friendly flood-control infrastructure. Activities included in this phase include the implementation of one large scale restoration project to provide up to 3 linear km of high quality juvenile Coho and Chinook rearing habitat within an existing Wildlife Management Area, one research project to better understand impacts of pumps on salmon, and a post-restoration monitoring program to assess the success of sites where flood infrastructure has been restored for fish passage compared to baseline assessments conducted in prior phases of Resilient Waters. Finally, results from all project activities will help to inform MakeWay's ongoing efforts to advance and communicate best practices for fish-friendly flood infrastructure. ","Nature Trust of BC 
Ducks Unlimited Canada 
BC South Coast Conservation Land Management Program, BC Land, Water, Resources Stewardship 
Kwikwetlem and Katzie First Nations 
SFU Ecological Restoration Program 
DFO Lower Fraser Restoration Unit Specialist 
Kerr Wood Leidal Consulting Engineers 
Pearson Ecological 
University of British Columbia Pacific Salmon Lab, UBC Coastal Adaptation Lab 
City of Surrey 
Salish Sea Indigenous Guardians Association 
DFO Lower Fraser Restoration Unit Specialist 
First Nations – Cheam, Seabird Island Leqamel, Tswawwassen 
Watershed Watch Salmon Society ",Pacific Salmon
BCSRIF_2022_374,Scaling the Implementation of Riparian Restoration,2,Investment Agriculture Foundation British Columbia,Industry Association,BC Wide and Coastal Waters,"Vancouver Island, Greater Vancouver, Fraser Valley, Okanagan, Interior, Cariboo, Kootenays",Infrastructure,10/1/2023,3/31/2026,"This multi-year initiative addresses the threat of riparian habitat degradation through improved agricultural practices that benefit salmon ecosystems and multiple Species at Risk. Farmland Advantage (FLA) operates with Indigenous partners on a watershed-to-watershed basis, identifying climate change adaptation and mitigation goals and assessing restoration opportunities within riparian areas adjacent to salmon bearing streams and rivers. This project works directly with farmers and ranchers to support them taking a stewardship role of riparian and salmon habitats on private lands. Starting April 1, 2025, FLA will be renamed “BCSRIF SIRR (Scaling the Implementation of Riparian Restoration)” to recognize the sole BCSRIF focus of this funding program. ","Federal Ministry of Environment and Climate Change Canada
BC Ministry of Agriculture and Food
BC Ministry of Water Land and Resource Stewardship",Pacific Salmon
BCSRIF_2022_377,Lower Adams Habitat Restoration Initiative (LAHRI),2,Skw’lax te Secwépemcuclew,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,"Squilax, BC; Tsutswecw Provincial Park",Innovation,6/1/2023,3/31/2026,"The overall objective of the project is to focus on re-establishing connectivity and habitat conditions to support and sustain recovery of Adams River sockeye, other salmon, and resident fish species. The key project elements will be the assessment of current geomorphic conditions to inform restoration planning, design, feasibility, monitoring, and implementation. The project will rely on evidence based decision-making metrics, employ a precautionary approach, and will be committed to implementing processed-based restoration solutions. The project will be conducted in the approximately 3.5 km length reach downstream of Squilax-Anglemont Road bridge to the confluence of Shuswap Lake on the lower Adams River as this area supports the majority of sockeye spawning habitat for the Adams River.","Pacific Salmon Foundation
Secwépemc Communities
DFO
Province of BC, Ministry of the Environment, BC Parks
Province of BC, Ministry of Forests, Resource Management, Fish and Wildlife Branch",Pacific Salmon
BCSRIF_2022_379,Strait of Georgia Herring: Restoring the Salmon Food Web,2,Pacific Salmon Foundation,Not-for-profit organization (ENGO),South Coast,Strait of Georgia,Science partnerships,5/4/2023,3/31/2026,"This project builds on previous work in the Salish Sea  to address outstanding knowledge gaps around the interactions between herring and Pacific salmon. There is growing evidence that suggests linkages between herring and juvenile Chinook and Coho with respect to early marine growth, marine survival, and population productivity. The Pacific Salmon Foundation, in collaboration with academic and First Nations partners, seeks to address several outstanding questions, including factors that impact availability of herring to Pacific salmon, the quality and use of the spawn habitat, and the health and structure of Strait of Georgia herring populations. This work will contribute to a broader understanding of the food web that support Pacific salmon .  ","Tla’amin Nation 
Snuneymux First Nation
Songhees First Nation 
Cowichan Tribes 
'wi'la'mola Consulting 
DFO
Raincoast Environmental Consulting ",Pelagics
BCSRIF_2022_383,Restoring Fraser River Estuary Salmon Habitat (ReFRESH),2,Ducks Unlimited Canada,Not-for-profit organization (ENGO),Fraser and Interior,"Lower Fraser River and Estuary, Richmond, BC",Innovation,5/4/2023,3/31/2026,"Ducks Unlimited Canada (DUC) will build on the successes of their ongoing work by expanding the Fraser River Estuary Salmon Habitat (FRESH) Restoration project to include new research and monitoring activities to improve the ability of future salmon habitat restoration efforts, with results to be shared with government and NGO restoration practitioners. A research project will be undertaken to better understand natural tidal marsh habitat forming processes including the implementation of new marsh habitat restoration pilot projects using the results of these studies. Another new project will evaluate the success of created (i.e., compensation, offsetting sites) tidal marshes through fish usage studies, and results will be used to restore/enhance a number of sites within the Fraser River Estuary. Finally, the project include the continuation of long-term effectiveness monitoring for the FRESH Restoration Project and extension of the Sturgeon Bank Sediment Enhancement Pilot Project for an additional two years. 


","Ducks Unlimited Canada
Raincoast Conservation Foundation
Lower Fraser Fisheries Alliance
Asarum Ecological Consulting
Tsawwassen First Nation
BC Ministry of Land, Water and Resource Stewardship
BC Ministry of Forests
Environment and Climate Change Canada - Science & Technology Branch
Fisheries and Oceans Canada - Resource Restoration Unit
Vancouver Fraser Port Authority
City of Richmond
Metro Vancouver
National Research Council of Canada
Pacific Institute for Climate Solutions
UBC Pacific Salmon Ecology and Conservation Lab
UBC Conservation Decisions Lab
Simon Fraser University - Faculty of Environment
Simon Fraser University - Remote Sensing of Environmental Change (ReSEC) Lab
British Columbia Institute of Technology - Ecological Restoration Program
Northwest Hydraulic Consultants
West Coast Environmental Law Roundtable and Technical Working Group.
Envirowest Consultants Inc.
World Wildlife Fund - Canada
MakeWay’s Resilient Waters 
Katzie First Nation 
Rivershed Society of BC 
Salish Sea Indigenous Guardians Association
Farmland Advantage
Stó:lo Research and Resource Management Centre",Pacific Salmon
BCSRIF_2022_384,Development of High-resolution Climate Change Freshwater Hazard Data for BC,2,Pacific Climate Impacts Consortium,Research and Innovation Institution/Academic,BC Wide and Coastal Waters,Coastal British Columbia and Fraser basin,Science partnerships,5/4/2023,3/31/2026,"The Pacific Climate Impacts Consortium (University of Victoria) aims to expand upon their current work (BCSRIF_2019_074_2) by providing results on the impact of climate change on the freshwater environment at a resolution sufficient to represent individual stream reaches and lakes. This project will deliver highly detailed streamflow and water quality data and associated exposure indicators to support site-specific (e.g., spawning grounds, and stream or lake rearing habitat) climate change vulnerability, habitat, and stock assessments, using exposure indicators that quantify the magnitude of expected changes in the freshwater environment. Changes could include increasingly extreme flow levels (low and high), high water temperatures, and hypoxia (low dissolved oxygen), which all pose as potential hazards to salmon survival across various life stages. The study is to be conducted primarily in areas with the majority of priority wild salmon stocks in BC. This project will involve two main activities: Hydrologic Modelling and Data Portal deployment. ",Fisheries and Oceans Canada,Pacific Salmon
BCSRIF_2022_385,Tsecmenúl̓ecwem-kt (We Repair the Land) - Deadman Recovery & Resiliency Initiative,2,Skeetchestn Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,"Deadman Watershed (Savona, BC)",Innovation,5/4/2023,3/31/2026,"The Deadman River Watershed Restoration Program (the Program) by the Skeetchestn Natural Resources Corporation aims to restore the post-wildfire valley-bottom to a climate-resilient riverscape by establishing a comprehensive monitoring and research program as well as implementing land and riparian restoration treatments in the watershed using process based restoration through nature-base solutions. The watershed is heavily impacted by resource development and climate change including high road density; high equivalent clear cut area; riparian disturbance; and approximately 55% has been burned during wildfires. The Program will develop a comprehensive monitoring program to measure the recovery of the watershed at biotic and abiotic levels for factors that impact the habitat quality of Chinook, Coho, and Steelhead; form a research group to advise on development, prioritization, placement, and delivery of the treatment options; and develop and test watershed restoration treatments that will also be tested for effectiveness including land treatments, channel treatments and road/trail rehabilitation.","Secwepemc Fisheries Commisssion
Skeetchestn Indian Band",Pacific Salmon
BCSRIF_2022_387,Charting a Path for Coastal First Nations’ Community Salmon Enhancement Initiatives,2,Great Bear Initiative Society,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,"North Coast, Central Coast, Haida Gwaii
",Innovation,9/1/2023,3/31/2026,"This project is the second phase of ""Coastal First Nations Salmon Enhancement and Restoration Initiative"", which implemented upgrade to 6 remote community hatcheries throughout the North and Central coasts. Building on that work, this new phase will focus on providing on-site technical support, developing site-specific operating manuals, and sharing best practices for operating and managing the newly upgraded hatcheries, with opportunities for participating First Nations to refresh and build fish health technical skills. Successful implementation of salmon enhancement programs is essential and is important to integrate into Nation-led efforts to protect and rebuild salmon in the territories. ","Kitasoo Xai'xais (CEDP and AFS hatcheries)
Kitasoo Xai’xais Stewardship Authority 
Old Massett Village Council (CEDP hatchery) 
Gitga’at Hartley Bay (CEDP hatchery) 
Heiltsuk Integrated Resource Management Department 
Heiltsuk Mcloughlin Bay (CEDP hatchery) 
Nuxalk Stewardship Office (Snootli Creek hatchery, Atnarko sockeye recovery program) 
Wuikinuxv Nation (Percy Walkus hatchery) 
Central Coast Indigenous Resource Alliance 
DFO North Coast Restoration Unit (engineering and biological staff) and DFO Community Advisors in Haida Gwaii, Terrace and Bella Coola ",Pacific Salmon
BCSRIF_2022_389,Mitigating Inputs of Tire Wear Toxins to Protect Salmonid Habitat on Vancouver Island,2,British Columbia Conservation Foundation,Not-for-profit organization (ENGO),South Coast,Vancouver Island,Innovation,5/15/2023,3/31/2026,"This project aims to identify where the major sources of tire wear toxin (TWT) inputs are along eastern Vancouver Island, investigate the spatiotemporal
concentration changes of the TWTs from point sources and evaluate the efficacy of engineered solutions to remove and/or prevent TWTs from entering
salmon-bearing streams. This project leverages the power of an innovative technology development that enables high throughput chemical analysis, at a significantly reduced cost relative to current standardized analysis methods for TWTs, and provides real-time data for on-site measurements including
treatment efficacy. In partnership with Vancouver Island University’s Applied Environmental Research Laboratory, the University of Victoria’s Community
Water Innovation Laboratory, local First Nations, stewardship groups and local government representatives, the BC Conservation Foundation will determine TWT ‘hotspots' and identify the most effective means at protecting freshwater salmonid habitat from these harmful toxins.","Snuneymuxw First Nation
Cowichan Tribes
Gorge Waterway Action Society
Fanny Bay Salmonid Enhancement Society
Vancouver Island University
University of Saskatchewan
Quadrocore
University of Victoria
Fisheries and Oceans Canada
Stewardship Groups (various)
University of British Columbia
Pacific Salmon Foundation",Pacific Salmon
BCSRIF_2022_397,"Mapping, monitoring and restoring important forage fish habitats in Coastal British Columbia to support salmon conservation efforts.",2,Comox Valley Project Watershed Society ,Stewardship Group (local/community-based),South Coast,"Vancouver Island, Sunshine Coast, Howe Sound and the Lower Mainland.",Science partnerships,6/19/2023,3/31/2026,"Comox Valley Project Watershed Society will build off the successes of their completed BCSRIF-funded project to apply and refine recently developed research tools and models to identify forage fish spawning, rearing, burying and foraging habitats in the Salish Sea and off the west coast of Vancouver Island. Active restoration of at least two potential forage fish spawning beaches will also take place. This work will continue to contribute to the conservation of important food sources for Pacific salmon, including chinook and coho.","North Island College 
K’ómoks First Nation
Ditidaht First Nation
Redd Fish Restoration Society 
Parks Canada
Environment and Climate Change Canada
BC Forage Fish Monitoring Network
University of Victoria Geography Department 
University of Victoria – Jaunes Lab
Hakai Institute 
Province of BC 
Coastal and Ocean Resources 
Pacific Salmon Foundation ",Pacific Salmon
BCSRIF_2022_399,"Evaluating climate change scenarios for the Quesnel Watershed to determine flood, fire and temperature risks posed to Upper Fraser salmon stocks.",2,"University of Northern British Columbia, Department of Geography, Earth and Environmental Sciences and UNBC’s Quesnel River Research Centre",Post-Secondary Institution,Fraser and Interior,Quesnel,Infrastructure,5/4/2023,3/31/2026,"This project will focus on understanding the effects of climate change on salmon ecosystems and the direct effects of increasing water temperatures and wildfire-contaminated spawning habitat on interior Pacific salmon early life stages.  Improvements to hatchery infrastructure will aid Chinook enhancement and conservation efforts with collaborators at DFO and Upper Fraser Fisheries Conservation Alliance. Construction of a center of excellence will provide classroom/outreach space to provide First Nations training and community outreach, while specialized laboratory facilities will increase collaboration and salmon ecosystem research.  This project will build educational and research capacity, improve Chinook salmon culture and deliver to the adjustment of management protocols for existing Pacific salmon stocks in these areas and to the development of mitigations to address climate change.","Upper Fraser Fisheries Conservation Association 
Horsefly River Roundtable
Cariboo Envirotech 
Fisheries and Oceans Canada - SEP & Science",Pacific Salmon
BCSRIF_2022_401,Supporting and connecting community-based monitoring for climate-resilient salmon ecosystems,2,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Spans across BC,Innovation,5/4/2023,3/31/2026,"This PSF project will assist communities strive to adjust fisheries management to deal with climate change uncertainties by monitoring climate change in salmon freshwater habitats. This project will enable both local and broad scale planning for climate resilient salmon ecosystems. This will include the PSF leads working with 26 different organizations across BC including 14 First Nations' organizations to: 1) Scale-up the application of computer-vision tools to empower communities with real-time information on salmon returns that can inform proactive in-season fisheries management; 2) Harmonize community-led monitoring of salmon ecosystems by providing guidance on best practices, working with partners to implement new stream temperature and flow monitoring where there are gaps, and synthesizing and sharing data across organizations; and 3) Create opportunities for integration and collaboration among communities and projects through workshops and working groups.

Systems and communities listed for scaled-up computer vision tools for real-time enumeration: 
1. Kitwanga R. (Gitanyow FN)
2. Bear R. (Skeena Fisheries Commission)
3. Kwaka Creek (Kitasoo Xais Xais FN)
4. Yakoun River (Council of Haida Nations)
5. Taku R. (Taku R. Tlingit FN)
6. Koeye River (Heiltsuk Integrated Resource Management Department)
7. Wannock River (Wuilinuxv FN)
8. Atnarko River (Nuxalk Fish & Wildlife)
9. Alsek R. - Klukshu weir
10. Thompson Watershed - Shuswap Lake","Taku River Tlingit 
Haida Fishery Program 
Gitanyow Fisheries 
Gitga’at Fisheries
Kitasoo Xai'xais Stewardship Authority 
Heiltsuk Integrated Resource Management Department 
Nuxalk Stewardship
Wuikinuxv Fishery Program 
Secwepmec Fisheries Commission 
Skeena Fisheries Commission 
Central Coast Indigenous Resource Alliance 
North Coast Skeena First Nations Stewardship Society 
Nanwakolas Council (Jordan Benner) 
Broughton Area Wild Salmon Initiative 
Fisheries and Oceans Canada 
British Columbia Institute of Technology
University of Toronto
Simon Fraser University
Pacific Data Stream 
Living Lakes/Columbia Basin Hub 
Hakai institute 
Morice Watershed Monitoring Trust 
Skeena Knowledge Trust  
Wild Salmon Centre 
Ecofish Research Ltd. 
",Pacific Salmon
BCSRIF_2022_402,The Sablefish Solution,2,"University of Victoria, Department of Biology",Post-Secondary Institution,South Coast,Kyuquot Sound,Science partnerships,6/1/2023,3/31/2026,"The University of Victoria, Biology Department, will work with First Nation and industry partners to identify sablefish reistant to a pathogen that limits the large-scale expansion of sablefish aquaculture in coastal communities. Genetically resistant sablefish will be used as brood stock to reduce reliance on costly antibiotics and avoid potentially negative ecosystem impacts, such as anti-biotic resistant pathogens.  This work could support expansion of sablefish aquaculture into coastal communities that are experience economic losses as a result of declining salmon aquaculture and commercial fisheries. ",,Pacific Groundfish
BCSRIF_2022_404,Oolichan From Estuary to Offshore: Assessment of Early Marine Populations and Limiting Factors of Central Coast Oolichan (Eulachon: Thaleichthys pacificus) in Douglas Channel and Gardner Canal,2,Ecofish Research Ltd.,Industry Association,Central Coast and the North,Kitimat,Science partnerships,5/4/2023,3/31/2026,"The Conservation and Recovery Research on Oolicah in Haisla Territory (CAROOHT) Research Team will conduct intensive surveys on the transitional stage of Oolichan larvae from estuaries to offshore environments on the Central Coast. Using field based studies and a novel eDNA technique, the team will assess health and environmental stressors of this important life stage and identify early marine distribution, abundance, and growth. This work will support further efforts to recover understudied Oolichan populations and Haisla fishing practices within Haisla Territory in the central coast.  ","UNBC 
University of Victoria 
Haisla Nation
Ecofish Research Ltd 
Rio Tinto ",Pelagics
BCSRIF_2022_407,Watershed Restoration Prioritization Tool/Solutions for Gold River Steelhead,2,Nootka Sound Watershed Society,Stewardship Group (local/community-based),South Coast,"Nootka Sound, West Coast Vancouver Island; Gold River watershed",Infrastructure,5/4/2023,3/31/2026,"The Watershed Restoration Prioritization Tool/ Solutions for Gold River Steelhead Project is a collaborative project led by NSWS and partners to support long-term management and recovery of priority salmon stocks in the Nootka Sound region of West Coast Vancouver Island, with a particular focus on threatened Chinook Salmon and Steelhead stocks in the Gold River watershed. This project is a continuation of a previously supported BC SRIF project (BC SRIF 2020_301) and includes three main project components (or activities): 1) stream temperature and hydrometric monitoring network in Nootka Sound; 2) riparian silviculture restoration project implementation and monitoring; and 3) community engagement and expansion of the Nootka Sound Salmon and Watershed Assessment Tool. These activities will provide crucial physical, technical, and decision-support infrastructure to support the NSWS and partners in ongoing work to support salmon conservation and recovery actions in Nootka Sound.","Solutions for Steelhead (S4S) Gold River Task Force (including: BC MFLNRORD, DFO, NSWS, Western Forest Products, BCIT, Mowachaht/Muchalaht First Nation, and Steelhead Society), and Ecofish Research Ltd. 
",Pacific Salmon
BCSRIF_2022_410,Portage Creek Chinook Salmon Recovery Program,2,St'át'imc Government Services (SGS),"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Seton Portage,Science partnerships,5/4/2023,3/31/2026,"This project will provide key information to preserving and managing the endangered Portage Creek Chinook population. Through innovative and robust methods, the project will provide a high-precision estimate of juvenile and spawner abundance within Portage Creek to quantify enhancement success. Important information on migration timing and proportionate natural influence (PNI) will be collected to inform future management and enhancement activities. The program will bring together local Indigenous communities from St'át'imc Nation, DFO, BC Hydro, and InStream Fisheries Research.","InStream Fisheries Research
DFO – Salmon Enhancement Program, StAD
BC Hydro",Pacific Salmon
BCSRIF_2022_411,Establishing a long-term strategy for understanding and mitigating the impacts of the European Green Crab invasion on Haida Gwaii,2,Secretariat of the Haida Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Haida Gwaii,Science partnerships,4/1/2024,3/31/2026,"The European Green Crab on Haida Gwaii Working Group will continue to mitigate impacts of European Green Crab invasion through intensive monitoring, research, and response methods to understand, assess, develop, and implement management measures. This project will specifically work towards implementing a long-term response strategy for all Haida Gwaii, including continued detection mapping, identifying priority sites, depletion trapping and assessing impacts of trapping, implementing and refining long-term monitoring protocols, and increasing local awareness. ","Fisheries and Oceans Canada, DFO Science, AIS Core Program, Fisheries Protection Program, Marine Spatial Ecology and Analysis
Gwaii Haanas National Park Reserve, National Marine Conservation Area, and Haida Heritage Site, Parks Canada
BC Lands Waters Resource Stewardship ",Aquatic invasive species
BCSRIF_2022_412,Post Flood Support for Fish and Fish Habitat Recovery in the Nicola Watershed,2,Scw’exmx Tribal Council,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Merritt,Infrastructure,5/4/2023,3/31/2026,"The Scw’exmx Tribal Council’s Fisheries Department, the Nicola Watershed Stewardship and Fisheries Authority (NWSFA), is requesting funds to support strategic post 2021 flood recovery actions in the Nicola Watershed. These include the remediation of several site specific areas where critical habitat has been degraded by extreme flood event; support for a watershed assessment and rapid deployment team to address fish stranding and passage issues as they occur and support watershed rehabilitation planning work; and the continuation of a juvenile standing stock project to track Chinook and Steelhead juvenile recruitment in response to flood. Each of these projects has been identified as high priority by the Fish Emergency Technical Team consisting of representatives from NWSFA, DFO and BC.  There are 18 sites and issues that have been identified as requiring immediate attention and/or presenting opportunities to offset the impacts of flooding on fish and fish habitat and it is expected that through the support of the BCSRIF the NWSFA will be capable of addressing at least 10 of the sites and at least two of the major projects identified. ","Scw’exmx Tribal Council’s member Bands/local FN governments.
Landowners
Provincial and Federal governments",Pacific Salmon
BCSRIF_2022_414,Columbia River Salmon Reintroduction Initiative (CRSRI): Bringing the Salmon Home,2,Okanagan Nation Alliance,"Indigenous Organization (non-commercial, including First Nations governments)",Columbia and Kootenays,Upper Columbia River basin,Innovation,5/4/2023,3/31/2026,"The Bringing the Salmon Home Initiative is founded upon a historic Agreement and guided by Indigenous-led governance involving five governments. It is supported by commitments from leadership, but it has not received sufficient funding to meet these obligations. This project proposes 16 activities across 3 workstreams including salmon ecosystem rebuilding, salmon habitats and connectivity, and knowledge synthesis and integration. The project will explore feasibility and reintroduction options with the intent to improve knowledge to support decision-making, enhance salmon ecosystem resilience, support principles in UNDRIP and DRIPA, interweave Indigenous Knowledge and western science, build transboundary support and coordination. ","Syilx Okanagan Nation 
Secwépemc Nation
Ktunaxa Nation
DFO 
Province of British Columbia


",Pacific Salmon
BCSRIF_2022_415,Restoring freshwater connectivity for Pacific salmon,2,Canadian Wildlife Federation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,"Upper Fraser, Lower Nicola Watershed, Lower Fraser, Skeena and Central Coast",Infrastructure,5/4/2023,3/31/2026,The Restoring freshwater connectivity for Pacific salmon project by the Canadian Wildlife Federation is a continuation and expansion of their current BCSRIF project (BCSRIF_2019_137). The goals of the 2023-2026 project are to develop up to seven indigenous led watershed connectivity remediation plans in Pacific salmon habitat; update three existing watershed connectivity remediation plans; improve the habitat suitability modelling and assessment techniques for BC salmon to allow for better prediction of important spawning and rearing habitat areas disconnected by both longitudinal and lateral barriers in conjunction with UNBC; identify and rank the most important barriers to fish passage caused by rail infrastructure and initiate development of an action plan to restore access to spawning and rearing habitat that is currently cut off by rail stream crossings; and improve the knowledge and application of best practices for stream crossings among practitioners in government and the private sector to prevent future unintended fragmentation of habitat through the development of a short course and supporting resources relating to stream crossings. Target areas for watershed plans include the Bowron River and Quesnel River watersheds as well as other yet to be determined.,"Lower Fraser Fisheries Alliance (LFFA) 
Central Coast Indigenous Resource Alliance (CCIRA) 
Upper Fraser Fisheries Conservation Alliance (UFFCA) 
Skeena Sustainability Assessment Forum Project Team (SSAF PT) 
Office of the Wet’suwet’en, Gitxsan Gitanyow, and Witset First Nation
Lhtako Dené Nation (LDN) 
Scw’exmx Tribal Council (STC) 
T’exelc, Williams Lake First Nation (WLFN) 
The Horsefly River Roundtable (HRR) 
The Pacific Salmon Foundation (PSF) 
BC Ministry of Land, Water and Resource Stewardship (MLWRS) 
BC Ministry of Forests (MOF)
BC Ministry of Transportation and Infrastructure (MOTI) 
DFO Salmonid Enhancement Program (SEP) 
University of British Columbia (UBC) 
",Pacific Salmon
BCSRIF_2022_417,Mitigating the Effects of the Invasive European Green Crab on the Central Coast of BC,2,Heiltsuk Integrated Resource Management Department,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Bella Bella,Science partnerships,5/4/2023,3/31/2026,"The Heiltsuk Integrated Resource Management Department will assess and mitigate the spread of European Green Crab (EGC), focusing on important salmon habitat in the Central Coast of British Columbia, including eelgrass beds and estuaries near spawning habitats. The team will conduct concentrated trapping efforts and monitor results to adapt the program and better understand the implications of the invasion. ",University of Alberta,Aquatic invasive species
BCSRIF_2022_425,Empirically resolving interspecific competition experienced by North Pacific salmon in the open ocean,2,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Post-Secondary Institution,BC Wide and Coastal Waters,Vancouver,Innovation,6/1/2023,3/31/2026,"This project uses samples collected through trawl surveys conducted under the International Year of the Salmon to combine Compound-Specific Isotope analysis with diet analysis to resolve competitor interactions among salmon and other species in the East North Pacific. Bulk-isotope analyses indicate that there is a high degree of trophic overlap between other taxa that co-occur with salmon, such as myctophids, squid, and jellyfish indicating a significant source of competition. This information will support the development of a food-web model to determine how competitor interactions impact grown and survival of salmon on the high seas. ","The North Pacific Anadromous Fish Commission (NPAFC)
Pacific Salmon Foundation
Mitacs",Pacific Salmon
BCSRIF_2022_426,Investigation of water acidification and habitat on imprinting and homing in Pacific salmon,2,"University of British Columbia (Vancouver), Department of Zoology",Post-Secondary Institution,Fraser and Interior,Vancouver,Science partnerships,10/1/2023,3/31/2026,"Led by the University of British Columbia Department of Zoology, this project will aim to identify how changes in the environment can impact a salmons olfactory response during different life history phases. This will improve understanding of how rearing conditions can affect physiology during key periods when salmon undergo olfactory imprinting on natal habitats, and how captive rearing conditions can be managed to limit impacts on imprinting. ","BC Ministry of Land and Water Resource Stewardship
",Pacific Salmon
